"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"KEGG_PATHWAY","Systemic lupus erythematosus","8","48","144","9496","6.03e-6","6.39e-4","10.99","8.08e-4","6.25e-4","5.20e-7","H2BC12,H4C15,H2BC5,H2AC6,H4C14,H2BC21,H2BC18,H3C6"
"KEGG_PATHWAY","Cornified envelope formation","9","48","217","9496","9.54e-6","6.39e-4","8.21","1.28e-3","6.25e-4","1.11e-6","FLG,COL17A1,KRT36,KRT13,KRT35,KRT32,DSG4,ABCA12,HRNR"
"KEGG_PATHWAY","Alcoholism","8","48","191","9496","3.80e-5","1.50e-3","8.29","5.08e-3","1.47e-3","4.38e-6","H2BC12,H4C15,H2BC5,H2AC6,H4C14,H2BC21,H2BC18,H3C6"
"KEGG_PATHWAY","Neutrophil extracellular trap formation","8","48","196","9496","4.48e-5","1.50e-3","8.07","5.99e-3","1.47e-3","5.31e-6","H2BC12,H4C15,H2BC5,H2AC6,H4C14,H2BC21,H2BC18,H3C6"
"KEGG_PATHWAY","Viral carcinogenesis","7","48","205","9496","4.83e-4","1.29e-2","6.76","6.27e-2","1.27e-2","6.85e-5","H2BC12,CDKN1A,H4C15,H2BC5,H4C14,H2BC21,H2BC18"
"KEGG_PATHWAY","Staphylococcus aureus infection","4","48","102","9496","1.39e-2","3.10e-1","7.76","8.46e-1","3.03e-1","1.70e-3","KRT36,KRT13,KRT35,KRT32"
"KEGG_PATHWAY","Estrogen signaling pathway","4","48","139","9496","3.12e-2","5.96e-1","5.69","9.86e-1","5.83e-1","5.20e-3","KRT36,KRT13,KRT35,KRT32"
"KEGG_PATHWAY","Necroptosis","4","48","159","9496","4.37e-2","7.32e-1","4.98","9.97e-1","7.16e-1","8.31e-3","PLA2G4F,PLA2G4D,H2AC6,FAS"

